#,Title,Author,Acquired Date,Type
201,A Year On Earth With Mr. Hell,Young Kim,"February 16, 2024",Sample
202,The Strangler: A Novel,William Landay,"February 5, 2024",Sample
203,Mission Flats: A Novel,William Landay,"February 5, 2024",Sample
204,All That Is Mine I Carry With Me: A Novel,William Landay,"January 28, 2024",Purchase
205,All That Is Mine I Carry With Me: A Novel,William Landay,"January 28, 2024",Sample
206,Tomb Sweeping: Stories,Alexandra Chang,"January 21, 2024",Purchase
207,Tomb Sweeping: Stories,Alexandra Chang,"January 21, 2024",Sample
208,Wool: The Basis for The Apple TV Streaming Series—A Heart-Pounding Thriller of Survival and Betrayal in a Dystopian World (Silo Book 1),Hugh Howey,"January 21, 2024",Sample
209,Murder Book,Thomas Perry,"January 21, 2024",Sample
210,Whalefall: A Novel,Daniel Kraus,"January 20, 2024",Sample
211,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,"January 6, 2024",Sample
212,The Second Stranger: A Novel,Martin Griffin,"January 6, 2024",Purchase
213,Kill Show: A True Crime Novel,Daniel Sweren-Becker,"December 28, 2023",Purchase
214,Kill Show: A True Crime Novel,Daniel Sweren-Becker,"December 28, 2023",Sample
215,The Paleontologist: A Novel,Luke Dumas,"December 28, 2023",Sample
216,The Second Stranger: A Novel,Martin Griffin,"January 6, 2024",Sample
217,Prophet,"Helen Macdonald, Sin Blaché","December 27, 2023",Purchase
218,Prophet,"Helen Macdonald, Sin Blaché","December 27, 2023",Sample
219,The Trap,Catherine Ryan Howard,"December 26, 2023",Sample
220,Tell Me What I Am: A Novel,Una Mannion,"December 26, 2023",Sample
221,Same Bed Different Dreams: A Novel,Ed Park,"December 26, 2023",Sample
222,NSFW: A Novel,Isabel Kaplan,"December 25, 2023",Purchase
223,The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,Freida McFadden,"December 24, 2023",Sample
224,Four Treasures of the Sky: A Novel,Jenny Tinghui Zhang,"December 24, 2023",Sample
225,NSFW: A Novel,Isabel Kaplan,"December 25, 2023",Sample
226,Looker: A Novel,Laura Sims,"December 24, 2023",Purchase
227,Looker: A Novel,Laura Sims,"December 24, 2023",Sample
228,How Can I Help You,Laura Sims,"December 20, 2023",Purchase
229,How Can I Help You,Laura Sims,"December 20, 2023",Sample
230,The Plinko Bounce,Martin Clark,"December 9, 2023",Purchase
231,The Plinko Bounce,Martin Clark,"December 9, 2023",Sample
232,Chain Gang All Stars: National Book Award Finalist,Nana Kwame Adjei-Brenyah,"November 28, 2023",Sample
233,The Perfect Marriage: A Completely Gripping Psychological Suspense,Jeneva Rose,"November 28, 2023",Borrowed
234,The Perfect Marriage: A Completely Gripping Psychological Suspense,Jeneva Rose,"November 28, 2023",Sample
235,The Soulmate: A Novel,Sally Hepworth,"November 23, 2023",Purchase
236,The Soulmate: A Novel,Sally Hepworth,"November 23, 2023",Sample
237,Skeletons in the Closet,Jean-Patrick Manchette,"November 22, 2023",Purchase
